accountID,phoneNum,email,name,fines,password
11111,6048737789,m.adams@email.com,"Adams, Mufasa",10.00,cs304
12345,6048861467,s.baker@email.com,"Baker, Sarabi",0,cs304
13579,6048985145,s.clark@email.com,"Clark, Simba",0,cs304
14813,6049108823,n.davis@email.com,"Davis, Nala",0,cs304
16047,6049232501,k.evans@email.com,"Evans, Kiara",0,cs304
17281,6049356179,k.frank@email.com,"Frank, Kovu",0,cs304
18515,7781763456,t.ghosh@email.com,"Ghosh, Timon",0,cs304
19749,7781997975,p.hills@email.com,"Hills, Pumbaa",0,cs304
20983,7782232494,r.irwin@email.com,"Irwin, Rafiki",0,cs304
22217,7782467013,s.jones@email.com,"Jones, Shenzi",0,cs304
23451,7782701532,s.klein@email.com,"Klein, Sneezy",0,cs304
24685,7782936051,s.lopez@email.com,"Lopez, Sleepy",0,cs304
25919,7783170570,d.mason@email.com,"Mason, Dopey",0,cs304
27153,7783405089,d.nalty@email.com,"Nalty, Doc",0,cs304
28387,7783639608,h.ochoa@email.com,"Ochoa, Happy",0,cs304
29621,7787638467,b.patel@email.com,"Patel, Bashful",0,cs304
30855,7787803750,g.quinn@email.com,"Quinn, Grumpy",0,cs304
32089,7787969033,j.reily@email.com,"Reily, Jonah",0,cs304
33323,7788134316,f.smith@email.com,"Smith, Fred",0,cs304
